date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI
12/12/18,5506.9207,5529.0343,5495.0472,5501.208,5.7127,0.1038,4295566,3951843961,5459.9634,5615.4608,30.1981255,33.77085075,43.19344081,14.92567062,5510.21584,-0.000598006,46.23477883,69.8018745,11.8735,-22.1136,11.8735,187.5661,0.291316757,157.601662,5514.143981
12/11/18,5501.208,5511.294,5468.1724,5476.9149,24.2931,0.4436,4585587,4154938265,5459.9634,5617.4479,26.18962501,35.55721337,47.90473584,10.86216843,5527.30764,-0.004721945,50.29074849,73.81037499,33.0356,-10.086,33.0356,128.5875,0.219093155,152.272214,5518.668416
12/10/18,5476.9149,5533.5603,5459.9634,5547.2053,-70.2904,-1.2671,5744854,5209453000,5459.9634,5639.9596,9.417698818,40.24100755,54.07849708,12.56602849,5554.91614,-0.014041839,68.89090299,90.58230118,16.9515,-70.2904,-70.2904,241.52,0.184641108,140.282652,5521.01613
12/7/18,5547.2053,5555.4126,5510.3889,5518.8303,28.375,0.5141,5314174,4650111446,5510.3889,5640.748,28.24229379,55.65266192,60.99724184,44.96350206,5584.47058,-0.006673019,85.04605304,71.75770621,36.8164,-8.2073,36.8164,447.9321,0.62633613,127.135168,5531.822419
12/6/18,5518.8303,5615.4608,5510.9882,5592.3797,-73.5494,-1.3152,5630623,5372749770,5355.7111,5640.748,57.22739758,69.35784598,63.66953181,80.73447433,5569.06306,-0.009019966,84.27291336,42.77260242,7.8421,-96.6305,-96.6305,449.8084,0.657966026,106.516598,5533.648374
12/5/18,5592.3797,5617.4479,5530.8623,5639.2505,-46.8708,-0.8312,5916745,5544877812,5355.7111,5640.748,83.03086372,75.42307018,60.82537472,104.6184611,5548.01326,0.007996816,81.33021388,16.96913628,61.5174,-46.8708,-46.8708,455.7791,0.621575239,109.11862,5541.376121
12/4/18,5639.2505,5639.9596,5586.2333,5624.6871,14.5634,0.2589,6069317,5550376147,5355.7111,5640.748,99.47462943,71.61917341,53.52652699,107.8044663,5530.7831,0.019611581,81.80088783,0.525370575,53.0172,-0.7091,53.0172,433.2929,0.767795534,108.00792,5522.229206
12/3/18,5624.6871,5640.748,5564.1096,5470.1677,154.5194,2.8248,8479574,7419726207,5355.7111,5640.748,94.36532603,57.69144541,44.48020378,84.11392867,5488.60416,0.024793725,69.23520757,5.634673967,154.5194,-16.0609,154.5194,356.9327,0.777663257,101.974642,5488.611552
11/30/18,5470.1677,5472.284,5355.7111,5413.5813,56.5864,1.0453,5541843,4514535128,5355.7111,5566.7433,54.23655726,39.3545051,37.87458296,42.31434936,5443.07222,0.004977975,57.99564801,45.76344274,114.4566,-2.1163,114.4566,271.4173,0.680101905,107.307082,5461.861498
11/29/18,5413.5813,5566.7433,5413.4631,5506.2289,-92.6476,-1.6826,6231001,5276632455,5359.9933,5593.5529,22.94403655,31.91347901,37.13462189,21.47119324,5422.89414,-0.001717319,102.3680731,77.05596345,0.1182,-153.162,-153.162,309.3524,0.311641475,120.664846,5459.385479
11/28/18,5506.2289,5510.2606,5359.9933,5428.3558,77.8731,1.4346,5599948,5265558480,5359.9933,5631.1412,53.93204225,36.39820024,39.74519334,29.70421405,5457.7285,0.008886554,103.0519381,46.06795775,146.2356,-4.0317,146.2356,513.3582,0.382294765,135.607478,5464.536082
11/27/18,5428.3558,5459.7286,5398.593,5397.0274,31.3284,0.5805,5011699,4232844065,5360.3383,5631.1412,25.11697622,27.63127923,41.41868988,0.056457925,5476.06136,-0.008711655,101.1842349,74.88302378,31.3284,-31.3728,31.3284,464.7792,0.289251029,133.689998,5450.054815
