date,close,high,low,pre_close,range,change,vol,turnover
6/16/20,13003.8474,13025.6759,12846.7545,12776.9996,226.8478,1.7754,5229801,15141721438
6/15/20,12776.9996,12907.8374,12751.7108,12855.0461,-78.0465,-0.6071,7899052,18106893561
6/12/20,12855.0461,12883.7592,12550.5271,12772.3719,82.6742,0.6473,5331499,14809493782
6/11/20,12772.3719,12925.0056,12693.2813,12909.198,-136.8261,-1.0599,5937009,16842588525
6/10/20,12909.198,12959.7438,12842.1714,12893.5247,15.6733,0.1216,4347410,12670808374
6/9/20,12893.5247,12907.2911,12710.3838,12746.353,147.1717,1.1546,4846692,15301213409
6/8/20,12746.353,12837.8244,12684.0355,12747.4269,-1.0739,-0.0084,6315230,19880125737
6/5/20,12747.4269,12756.9236,12613.8159,12761.1356,-13.7087,-0.1074,4627670,13835239314
6/4/20,12761.1356,12761.1356,12617.7704,12617.5673,143.5683,1.1378,4846543,12599004973
6/3/20,12617.5673,12674.6403,12582.9583,12651.1062,-33.5389,-0.2651,4191696,12671873390
6/2/20,12651.1062,12842.2035,12621.4417,12860.935,-209.8288,-1.6315,5031853,15284766776
6/1/20,12860.935,12883.8472,12714.7409,12635.9299,225.0051,1.7807,5760552,17809609436
5/29/20,12635.9299,12642.9382,12340.9779,12398.7344,237.1955,1.9131,4971144,14540666658
5/28/20,12398.7344,12477.7095,12264.0833,12411.5,-12.7656,-0.1029,4400034,12856051886
5/27/20,12411.5,12518.5267,12378.5896,12496.8318,-85.3318,-0.6828,4357015,13070623854
5/26/20,12496.8318,12504.6495,12309.9937,12363.7541,133.0777,1.0764,4271719,12104247899
5/25/20,12363.7541,12363.7541,11986.2307,12096.2859,267.4682,2.2112,3973788,13527176075
5/22/20,12096.2859,12368.7324,12048.1582,12436.7538,-340.4679,-2.7376,5090109,15541632926
5/21/20,12436.7538,12558.5861,12397.3505,12416.3906,20.3632,0.164,5349027,14080135641
5/20/20,12416.3906,12555.027,12383.2192,12575.9889,-159.5983,-1.2691,5021632,13373722556
5/19/20,12575.9889,12590.3261,12458.1077,12501.9777,74.0112,0.592,4850924,13822379681
5/18/20,12501.9777,12559.3837,12156.9086,12202.8572,299.1205,2.4512,5925466,17194702151
5/15/20,12202.8572,12351.7323,12132.8065,12290.2607,-87.4035,-0.7112,5820368,14533888138
5/14/20,12290.2607,12375.8016,12284.301,12425.41,-135.1493,-1.0877,5381065,14255845417
5/13/20,12425.41,12449.4503,12156.4435,12241.8664,183.5436,1.4993,6227889,15863387389
5/12/20,12241.8664,12247.1154,12012.3562,12012.4663,229.4001,1.9097,5303787,14021314473
5/11/20,12012.4663,12216.0171,11969.7494,12103.3305,-90.8642,-0.7507,5390012,14434472163
5/8/20,12103.3305,12155.072,11937.455,11994.6133,108.7172,0.9064,5934314,16345446381
5/7/20,11994.6133,12057.5445,11831.8645,11883.5785,111.0348,0.9344,6319812,16181340242
5/6/20,11883.5785,11883.5785,11604.0816,11726.7568,156.8217,1.3373,6338068,18175812771
4/30/20,11726.7568,11786.5843,11649.6323,11750.3703,-23.6135,-0.201,6854598,17487950651
4/29/20,11750.3703,11927.3677,11675.4982,12021.2884,-270.9181,-2.2537,8024304,20358916358
4/28/20,12021.2884,12049.6769,11652.8306,11762.1891,259.0993,2.2028,7543980,19816603350
4/27/20,11762.1891,11794.3549,11628.8343,11699.5483,62.6408,0.5354,5557153,14481648503
4/24/20,11699.5483,11742.4629,11587.6523,11658.7328,40.8155,0.3501,5913954,14353904704
4/23/20,11658.7328,11787.796,11623.9343,11607.7132,51.0196,0.4395,7696996,17511038572
4/22/20,11607.7132,11610.9885,11259.2375,11303.6074,304.1058,2.6903,6729354,17537399588
4/21/20,11303.6074,11374.1473,11215.3132,11424.801,-121.1936,-1.0608,5020873,12302598524
4/20/20,11424.801,11430.405,11289.3452,11333.2782,91.5228,0.8076,5093134,12386876642
4/17/20,11333.2782,11442.6413,11300.0346,11272.2022,61.076,0.5418,6195694,16046900152
4/16/20,11272.2022,11323.0326,11201.7078,11265.6559,6.5463,0.0581,4342059,10661653580
4/15/20,11265.6559,11437.466,11237.1111,11411.0171,-145.3612,-1.2739,4608010,11961236345
4/14/20,11411.0171,11411.0171,11165.2898,11203.43,207.5871,1.8529,4718745,13320546430
